Keys,English (USA),日本語,Pig Latin (USA)
Game Title,The Recursive Dollhouse,マトリョーシカの家,Ethay Ecursiveray Ollhouseday
Loading,Loading…,ロード中,
Start Button,Start,,
Options Button,Options,,
Credits Button,Credits,,
Quit Button,Quit,,
Level Select Title,Level Select,,
Level Button,Level {0},,
Back Button,Back,,
Options Mute,Mute,,
Options Language,Language:,,
Options Music Volume,Music Volume:,,
Options Sound Effects Volume,Sound Effects Volume:,,
Options Special Effects,Special Effects:,,
Options Enable Flashing Effects,Enable Flashing Screen Effects,,
Options Enable Motion Blurs,Enable Motion Blurs,,
Options Enable Bloom,Enable Bloom,,
Options Keyboard Sensitivity,Movement Sensitivity:,,
Options Split Keyboard Sensitivity,Split Movement Sensitivity By Axis,,
Options Keyboard Overall Sensitivity,Sensitivity:,,
Options Keyboard X-Axis Sensitivity,Horizontal Sensitivity:,,
Options Keyboard Y-Axis Sensitivity,Vertical Sensitivity:,,
Options Keyboard Invert,Invert Movement:,,
Options Invert Keyboard X-Axis,Invert Horizontal Movement,,
Options Invert Keyboard Y-Axis,Invert Vertical Movement,,
Options Mouse Sensitivity,Camera Control's Sensitivity:,,
Options Split Mouse Sensitivity,Split Camera Control's Sensitivity By Axis,,
Options Mouse Overall Sensitivity,Sensitivity:,,
Options Mouse X-Axis Sensitivity,Horizontal Sensitivity:,,
Options Mouse Y-Axis Sensitivity,Vertical Sensitivity:,,
Options Mouse Invert,Invert Camera Controls:,,
Options Invert Mouse X-Axis,Invert Horizontal Camera Controls,,
Options Invert Mouse Y-Axis,Invert Vertical Camera Controls,,
Options Scroll Wheel,Mouse Scroll-Wheel:,,
Options Scroll Wheel Sensitivity,Sensitivity:,,
Options Invert Scroll Wheel,Invert Mouse Scroll-Wheel,,
Options Reset,Reset Saved Data,,
Confirmation Title,Are you sure?,,
Yes Button,Yes,,
No Button,No,,
Hack Warning Title,This is awkward…,,
Hack Warning Intro,Someone besides the original developers may have uploaded this game without their permission. How can they tell?,,
Hack Warning Reasoning Not Genuine,Internal tests confirm this game is not genuine.,,
Hack Warning Reasoning Unknown Domain,Unable to confirm this game is hosted by a domain the developers uploaded their game to.,,
Hack Warning Reasoning Domain Mismatch,"The detected url, ""{0},"" does not match any of the domains the developers uploaded their game to.",,
Hack Warning Options Intro,This could potentially mean that this game's quality is compromised. There are a couple of options you can take.,,
Hack Warning First Option Title,First Option:,,
Hack Warning First Option Description,"Check our website below for a legitimate copy of this game, as well as news about this project and other games we've created:",,
Hack Warning First Option Button,Omiya Games,,
Hack Warning Second Option Title,Second Option:,,
Hack Warning Second Option Description,"Check out these other sites we regularly post on, and contains a legitimate copy of our games:",,
Hack Warning Final Option Title,Final Option:,,
Hack Warning Final Option Description,"Click on the button below to continue this copy of the game. We don't take any responsibilities for what might happen next, though.",,
Hack Warning Final Option Button,Continue,,
